citation,full_reference,exp,,
ignace_et_al_2007,"ignace,_d_d,_huxman,_t_e,_weltzin,_j_f,_williams,_d_g_(2007)_leaf_gas_exchange_and_water_status_responses_of_a_native_and_non-native_grass_to_precipitation_across_contrasting_soil_surfaces_in_the_sonoran_desert_oecologia_152,_401-413",santarita_holoceragr_d,,
ignace_et_al_2007,"ignace,_d_d,_huxman,_t_e,_weltzin,_j_f,_williams,_d_g_(2007)_leaf_gas_exchange_and_water_status_responses_of_a_native_and_non-native_grass_to_precipitation_across_contrasting_soil_surfaces_in_the_sonoran_desert_oecologia_152,_401-413",santarita_holocheterop_d,,
ignace_et_al_2007,"ignace,_d_d,_huxman,_t_e,_weltzin,_j_f,_williams,_d_g_(2007)_leaf_gas_exchange_and_water_status_responses_of_a_native_and_non-native_grass_to_precipitation_across_contrasting_soil_surfaces_in_the_sonoran_desert_oecologia_152,_401-413",santarita_pleistobare_d,,
ignace_et_al_2007,"ignace,_d_d,_huxman,_t_e,_weltzin,_j_f,_williams,_d_g_(2007)_leaf_gas_exchange_and_water_status_responses_of_a_native_and_non-native_grass_to_precipitation_across_contrasting_soil_surfaces_in_the_sonoran_desert_oecologia_152,_401-413",santarita_pleistoeragr_d,,
ignace_et_al_2007,"ignace,_d_d,_huxman,_t_e,_weltzin,_j_f,_williams,_d_g_(2007)_leaf_gas_exchange_and_water_status_responses_of_a_native_and_non-native_grass_to_precipitation_across_contrasting_soil_surfaces_in_the_sonoran_desert_oecologia_152,_401-413",santarita_pleistoheterop_d,,
ignace_et_al_2007,"ignace_et_al,_2007_leaf_gas_exchange_and_water_status_responses_of_a_native
and_non-native_grass_to_precipitation_across_contrasting_soil
surfaces_in_the_sonoran_desert",tucson_b_d,,
ignace_et_al_2007,"ignace_et_al,_2007_leaf_gas_exchange_and_water_status_responses_of_a_native
and_non-native_grass_to_precipitation_across_contrasting_soil
surfaces_in_the_sonoran_desert",tucson_b_d2,,
ignace_et_al_2007,"ignace_et_al,_2007_leaf_gas_exchange_and_water_status_responses_of_a_native
and_non-native_grass_to_precipitation_across_contrasting_soil
surfaces_in_the_sonoran_desert",tucson_d,,
ignace_et_al_2007,"ignace_et_al,_2007_leaf_gas_exchange_and_water_status_responses_of_a_native
and_non-native_grass_to_precipitation_across_contrasting_soil
surfaces_in_the_sonoran_desert",tucson_d2,,
iivonen_et_al_2006,"iivonen_s,_kaakinen_s,_jolkkonen_a,_vapaavuori_e,_linder_s_(2006)_influence_of_long-term_nutrient_optimization_on_biomass,_carbon,_and_nitrogen_acquisition_and_allocation_in_norway_spruce_canadian_journal_of_forest_research-revue_canadienne_de_recherche",fl_f,,
ikeda_et_al_2015,"ikeda_et_al,_2015_characterization_of_leaf_blade-_and_leaf_sheath-associated_bacterial
communities_and_assessment_of_their_responses_to_environmental_changes
in_co2,_temperature,_and_nitrogen_levels_under_field_conditions_microbes_environ_vol_30,_no_1,_51-62,_2015",riceface_japan_ko_2010_3538_13959_c,,
ikeda_et_al_2015,"ikeda_et_al,_2015_characterization_of_leaf_blade-_and_leaf_sheath-associated_bacterial
communities_and_assessment_of_their_responses_to_environmental_changes
in_co2,_temperature,_and_nitrogen_levels_under_field_conditions_microbes_environ_vol_30,_no_1,_51-62,_2015",riceface_japan_ko_2010_3538_13959_cw,,
ikeda_et_al_2015,"ikeda_et_al,_2015_characterization_of_leaf_blade-_and_leaf_sheath-associated_bacterial
communities_and_assessment_of_their_responses_to_environmental_changes
in_co2,_temperature,_and_nitrogen_levels_under_field_conditions_microbes_environ_vol_30,_no_1,_51-62,_2015",riceface_japan_ko_2010_3538_13959_w,,
illeris_et_al_2004,"illeris_et_al,_2004_growing-season_carbon_dioxide_flux_in_a_dry_subarctic_heath:_responses_to_long-term_manipulations_arctic,_antarctic_and_alpine_research_36,_456-463",abisko_subalpine_f,,
ineson_et_al_1996,"ineson_p,_cotrufo_mf,_bol_r,_harkness_dd,_blum_h_(1996)_quantification_of_soil_carbon_inputs_under_elevated_co2:c-3_plants_in_a_c-4_soil_plant_and_soil,_187,_345-350",eth_face_c,,
ineson_et_al_1998,"ineson,_p,_coward,_p_a,_&_hartwig,_u_a_(1998)_soil_gas_fluxes_of_n_2_o,_ch_4_and_co_2_beneath_lolium_perenne_under_elevated_co_2:_the_swiss_free_air_carbon_dioxide_enrichment_experiment plant_and_soil, 198:89-95",swissface_lolium2_cf,,
ingrisch_et_al_2018,"ingrisch,_j,_karlowsky,_s,_anadon-rosell,_a,_hasibeder,_r,_koenig,_a,_augusti,_a,__&_bahn,_m_(2018)_land_use_alters_the_drought_responses_of_productivity_and_co_2_fluxes_in_mountain_grassland ecosystems, 21(4),_689-703",stubaim2013_d,,
ingrisch_et_al_2018,"ingrisch,_j,_karlowsky,_s,_anadon-rosell,_a,_hasibeder,_r,_koenig,_a,_augusti,_a,__&_bahn,_m_(2018)_land_use_alters_the_drought_responses_of_productivity_and_co_2_fluxes_in_mountain_grassland ecosystems, 21(4),_689-703",stubaiu2013_d,,
insam_et_al_1999,"insam_h,_baath_e,_berreck_m,_et_al_(1999)_responses_of_the_soil_microbiota_to_elevated_co2_in_an_artificial_tropical_ecosystem_journal_of_microbiological_methods,_36,_45-54",ub_tropical2_c,,
inubushi_et_al_2001,"inubushi_et_al,_2001_kazuyuki_inubushi_,_md_mozammel_hoque_,_shu_miura_,_kazuhiko_kobayashi_,
han-yong_kim_,_masumi_okada_&_shingo_yabashi_(2001)_effect_of_free-air_co2_enrichment_(face)
on_microbial_biomass_in_paddy_field_soil,_soil_science_and_plant_nutrition,_47:4,_737-745",riceface_shizukuishi_a_1998_c,,
inubushi_et_al_2001,"inubushi_et_al,_2001_kazuyuki_inubushi_,_md_mozammel_hoque_,_shu_miura_,_kazuhiko_kobayashi_,
han-yong_kim_,_masumi_okada_&_shingo_yabashi_(2001)_effect_of_free-air_co2_enrichment_(face)
on_microbial_biomass_in_paddy_field_soil,_soil_science_and_plant_nutrition,_47:4,_737-745",riceface_shizukuishi_a_1999_c,,
irvine_et_al_2005,"irvine_et_al,_2005_coupling_of_canopy_gas_exchange_with_root_and_rhizosphere_respiration_in_a_semi-arid_forest",cascade_mountains_d,,
iversen_and_norby_2008,"iversen,_c_m,_&_norby,_r_j_(2008)_nitrogen_limitation_in_a_sweetgum_plantation:_implications_for_carbon_allocation_and_storage_canadian_journal_of_forest_research,_38(5),_1021-1032",ornerp_liqui2_c,,
iversen_and_norby_2008,"iversen,_c_m,_&_norby,_r_j_(2008)_nitrogen_limitation_in_a_sweetgum_plantation:_implications_for_carbon_allocation_and_storage_canadian_journal_of_forest_research,_38(5),_1021-1032",ornerp_liqui2_f,,
iversen_et_al_2008,"iversen,_c_m,_ledford,_j,_&_norby,_r_j_(2008)_co2_enrichment_increases_carbon_and_nitrogen_input_from_fine_roots_in_a_deciduous_forest new_phytologist, 179(3),_837-847",ornerp_liqui_c,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_bog_fn,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_bog_fnp,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_bog_fp,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_intermfen_fn,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_intermfen_fnp,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_intermfen_fp,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_richfen_fn,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_richfen_fnp,,
iversen_et_al_2010,"iversen_et_al_2010_scaling_plant_nitrogen_use_and_uptake_efficiencies_in_response_to_nutrient_addition_in_peatlands_ecology_91,_693-707",michigan_underc_richfen_fp,,
iversen_et_al_2011,"iversen,_c_m,_hooker,_t_d,_classen,_a_t,_&_norby,_r_j_(2011)_net_mineralization_of_n_at_deeper_soil_depths_as_a_potential_mechanism_for_sustained_forest_production_under_elevated_[co2] global_change_biology, 17(2),_1130-1139",ornerp_liqui2_c,,
iversen_et_al_2012,"iversen,_c_m,_keller,_j_k,_garten_jr,_c_t,_&_norby,_r_j_(2012)_soil_carbon_and_nitrogen_cycling_and_storage_throughout_the_soil_profile_in_a_sweetgum_plantation_after_11_years_of_co2‐enrichment global_change_biology, 18(5),_1684-1697",ornerp_liqui2_c,,
jach_et_al_2000,"jach_me,_laureysens_i,_ceulemans_r_(2000)_above-_and_below-ground_production_of_young_scots_pine_(pinus_sylvestris_l)_trees_after_three_years_of_growth_in_the_field_under_elevated_co2_annals_of_botany,_85,_789-798",ua_otc_c,,
jackson_et_al_2009,"jackson_rb,_cook_cw,_pippen_js,_palme_sm_2009_increased_belowground_biomass_and_soil_co2_fluxes_after_a_decade_of_carbon_dioxide_enrichment_in_a_warm‐temperate_forest ecology, 90(12):_3352-3366",dukeface_c,,
jackson_et_al_2009,"jackson_rb,_cook_cw,_pippen_js,_palme_sm_2009_increased_belowground_biomass_and_soil_co2_fluxes_after_a_decade_of_carbon_dioxide_enrichment_in_a_warm‐temperate_forest ecology, 90(12):_3352-3366",dukeface_cf,,
jackson_et_al_2009,"jackson_rb,_cook_cw,_pippen_js,_palme_sm_2009_increased_belowground_biomass_and_soil_co2_fluxes_after_a_decade_of_carbon_dioxide_enrichment_in_a_warm‐temperate_forest ecology, 90(12):_3352-3366",dukeface_f,,
jager_et_al_2003,"jager_hj,_schmidt_sw,_kammann_c,_grunhage_l,_muller_c,_hanewald_k_(2003)_the_university_of_giessen_free-air_carbon_dioxide_enrichment_study:_description_of_the_experimental_site_and_of_a_new_enrichment_system_journal_of_applied_botany-angewandte_botanik,_77,_117–127",giface_c,,
jager_et_al_2003,"jager_hj,_schmidt_sw,_kammann_c,_grunhage_l,_muller_c,_hanewald_k_(2003)_the_university_of_giessen_free-air_carbon_dioxide_enrichment_study:_description_of_the_experimental_site_and_of_a_new_enrichment_system_journal_of_applied_botany-angewandte_botanik,_77,_117–127",giface_ci-,,
jager_et_al_2003,"jager_hj,_schmidt_sw,_kammann_c,_grunhage_l,_muller_c,_hanewald_k_(2003)_the_university_of_giessen_free-air_carbon_dioxide_enrichment_study:_description_of_the_experimental_site_and_of_a_new_enrichment_system_journal_of_applied_botany-angewandte_botanik,_77,_117–127",giface_ci2,,
jager_et_al_2003,"jager_hj,_schmidt_sw,_kammann_c,_grunhage_l,_muller_c,_hanewald_k_(2003)_the_university_of_giessen_free-air_carbon_dioxide_enrichment_study:_description_of_the_experimental_site_and_of_a_new_enrichment_system_journal_of_applied_botany-angewandte_botanik,_77,_117–127",giface_i-,,
jager_et_al_2003,"jager_hj,_schmidt_sw,_kammann_c,_grunhage_l,_muller_c,_hanewald_k_(2003)_the_university_of_giessen_free-air_carbon_dioxide_enrichment_study:_description_of_the_experimental_site_and_of_a_new_enrichment_system_journal_of_applied_botany-angewandte_botanik,_77,_117–127",giface_i2,,
jamieson_et_al_2000,"pd_jamieson,_j_berntsen,_f_ewert,_ba_kimball,_je_olesen,_pj_pinter,_jr_porter,_ma_semenov,_modelling_co2_effects_on_wheat_with_varying_nitrogen_supplies,
agriculture,_ecosystems_&_environment,_volume_82,_issues_1-3,2000,pages_27-37,issn_0167-8809,",maricopaface_wheat96_c,,
jamieson_et_al_2000,"pd_jamieson,_j_berntsen,_f_ewert,_ba_kimball,_je_olesen,_pj_pinter,_jr_porter,_ma_semenov,_modelling_co2_effects_on_wheat_with_varying_nitrogen_supplies,
agriculture,_ecosystems_&_environment,_volume_82,_issues_1-3,2000,pages_27-37,issn_0167-8809,",maricopaface_wheat96_cf,,
jamieson_et_al_2000,"pd_jamieson,_j_berntsen,_f_ewert,_ba_kimball,_je_olesen,_pj_pinter,_jr_porter,_ma_semenov,_modelling_co2_effects_on_wheat_with_varying_nitrogen_supplies,
agriculture,_ecosystems_&_environment,_volume_82,_issues_1-3,2000,pages_27-37,issn_0167-8809,",maricopaface_wheat96_f,,
janous_et_al_1996,"janous_d,_dvorák_v,_oplustilová_m,_kalina_j_(1996)_chamber_effects_and_responses_of_trees_in_the_experiment_using_open_top_chambers_journal_of_plant_physiology,_148,_332-338",bily_kriz_c,,
janssens_et_al_1998,"janssens_et_al,_1998_elevated_atmospheric_co2_increases_fine_root_production,_respiration,_rhizosphere_respiration_and_soil_co2_efflux_in_scots_pine_seedlings_global_change_biology_4,_871-878",ua_otc_c,,
janssens_et_al_2005,"janssens_et_al,_2005_carbon_budget_of_pinus_sylvestris_saplings_after_four_years_of_exposure_to_elevated_atmospheric_carbon_dioxide_concentration_tree_physiology_25,_325-337",ua_otc_c,,
jarvis_et_al_1998,"jarvis_et_al,_1998_european_forests_and_global_change_the_likely_impacts_of_rising_co2_and_temperature_cambridge_university_press,_cambridge",glendevon_bp_c,,
jarvis_et_al_1998,"jarvis_et_al,_1998_european_forests_and_global_change_the_likely_impacts_of_rising_co2_and_temperature_cambridge_university_press,_cambridge",glendevon_bp_cf,,
jarvis_et_al_1998,"jarvis_et_al,_1998_european_forests_and_global_change_the_likely_impacts_of_rising_co2_and_temperature_cambridge_university_press,_cambridge",glendevon2_psi_c,,
jarvis_et_al_1998,"jarvis_et_al,_1998_european_forests_and_global_change_the_likely_impacts_of_rising_co2_and_temperature_cambridge_university_press,_cambridge",glendevon2_psi_cf,,
jarvis_et_al_1998,"jarvis_et_al,_1998_european_forests_and_global_change_the_likely_impacts_of_rising_co2_and_temperature_cambridge_university_press,_cambridge",glendevon3_psi_c,,
jarvis_et_al_1998,"jarvis_et_al,_1998_european_forests_and_global_change_the_likely_impacts_of_rising_co2_and_temperature_cambridge_university_press,_cambridge",glendevon3_psi_cf,,
jastrow_et_al_2005,"jastrow,_j_d,_michael_miller,_r,_matamala,_r,_norby,_r_j,_boutton,_t_w,_rice,_c_w,_&_owensby,_c_e_(2005)_elevated_atmospheric_carbon_dioxide_increases_soil_carbon_global_change_biology,_11(12),_2057-2064",manhattan_prairie_c,,
jensen_et_al_2003,"jensen_kd,_beier_c,_michelsen_a,_emmett_ba_(2003)_effects_of_experimental_drought_on_microbial_processes_in_two_temperate_heathlands_at_contrasting_water_conditions_applied_soil_ecology,_24,_165-176",clocaenog_d,,
jensen_et_al_2003,"jensen_kd,_beier_c,_michelsen_a,_emmett_ba_(2003)_effects_of_experimental_drought_on_microbial_processes_in_two_temperate_heathlands_at_contrasting_water_conditions_applied_soil_ecology,_24,_165-176",mols_d,,
jentsch_et_al_2011,"jentsch,_a,_kreyling,_j,_elmer,_m,_gellesch,_e,_glaser,_b,_grant,_k,__&_nagy,_l_(2011)_Climate_extremes_initiate_ecosystem‐regulating_functions_while_maintaining_productivity journal_of_ecology, 99(3),_689-702",bayreuth_event1_d,,
jia_et_al_2007,jia_et_al2007_effect_of_nitrogen_fertilization_on_soil_respiration_in_larix_gmelinii_and_fraxinus_mandshurica_plantations_in_china,songfengshan_f,,
jia_et_al_2009,jia_et_al2009_effects_of_nitrogen_fertilization_on_seasonal_dynamics_of_soil_microbial_biomass_carbon_and_nitrogen_in_larix_gmelinii_and_fraxinus_mandshurica_plantations,songfengshan_f,,
jia_et_al_2010,"jia_s,_wang_z,_li_x,_sun_y,_zhang_x,_liang_a_2010_n_fertilization_affects_on_soil_respiration,_microbial_biomass_and_root_respiration_in_larix_gmelinii_and_fraxinus_mandshurica_plantations_in_china_plant_and_soil_333(1-2):_325-336",maoershan_f,,
jia_et_al_2010,"jia_s,_wang_z,_li_x,_sun_y,_zhang_x,_liang_a_2010_n_fertilization_affects_on_soil_respiration,_microbial_biomass_and_root_respiration_in_larix_gmelinii_and_fraxinus_mandshurica_plantations_in_china_plant_and_soil_333(1-2):_325-337",maor_b_f,,
jia_et_al_2012,"jia_et_al,_2012_responses_of_soil_respiration_to_n_addition,_burning_and_clipping_in_temperate_semiarid_grassland_in_northern_china_agricultural_and_forest_meteorology_166–_167_(2012)_32–_40",liudaogou_f,,
jiang_et_al_2013,"jiang,_h_et_al_(2013)_Responses_of_soil_respiration_and_its_temperature/moisture_sensitivity_to_precipitation_in_three_subtropical_forests_in_southern_china_biogeosciences_10,_3963-3982",damxung_b_f,,
jiang_et_al_2013,"jiang,_h_et_al_(2013)_Responses_of_soil_respiration_and_its_temperature/moisture_sensitivity_to_precipitation_in_three_subtropical_forests_in_southern_china_biogeosciences_10,_3963-3982",damxung_b_f2,,
jiang_et_al_2013,"jiang_et_al,_2013_responses_of_ecosystem_respiration_and_its_components_to_fertilization
in_an_alpine_meadow_on_the_tibetan_plateau_european_journal_of_soil_biology_56_(2013)_101e106",damxung_f,,
jiang_et_al_2013,"jiang,_h_et_al_(2013)_Responses_of_soil_respiration_and_its_temperature/moisture_sensitivity_to_precipitation_in_three_subtropical_forests_in_southern_china_biogeosciences_10,_3963-3982",dbr_bl_d,,
jiang_et_al_2013,"jiang,_h_et_al_(2013)_Responses_of_soil_respiration_and_its_temperature/moisture_sensitivity_to_precipitation_in_three_subtropical_forests_in_southern_china_biogeosciences_10,_3963-3982",dbr_mix_d,,
jiang_et_al_2013,"jiang,_h_et_al_(2013)_Responses_of_soil_respiration_and_its_temperature/moisture_sensitivity_to_precipitation_in_three_subtropical_forests_in_southern_china_biogeosciences_10,_3963-3982",dbr_pm_d,,
jiang_et_al_2014,"jiang,_l,_lan,_z,_liu,_g,_&_kardol,_p_(2014)_interactive_effects_of_nitrogen_and_water_addition_on_competitive_hierarchies_between_early-and_late-successional_plant_species polish_journal_of_ecology, 62(4),_665-679",duolon5_f,,
jiang_et_al_2014,"jiang,_l,_lan,_z,_liu,_g,_&_kardol,_p_(2014)_interactive_effects_of_nitrogen_and_water_addition_on_competitive_hierarchies_between_early-and_late-successional_plant_species polish_journal_of_ecology, 62(4),_665-679",duolon5_i,,
jiang_et_al_2014,"jiang,_l,_lan,_z,_liu,_g,_&_kardol,_p_(2014)_interactive_effects_of_nitrogen_and_water_addition_on_competitive_hierarchies_between_early-and_late-successional_plant_species polish_journal_of_ecology, 62(4),_665-679",duolon5_if,,
jiang_et_al_2014,"jiang_xy,_cao_lx,_zhang_rd_2014_changes_of_labile_and_recalcitrant_carbon_pools_under_nitrogen_addition_in_a_city_lawn_soil_journal_of_soils_and_sediments_14(3):_515-524",guangzhou_f,,
jiang_et_al_2014,"jiang_xy,_cao_lx,_zhang_rd_2014_changes_of_labile_and_recalcitrant_carbon_pools_under_nitrogen_addition_in_a_city_lawn_soil_journal_of_soils_and_sediments_14(3):_515-524",guangzhou_f2,,
jiang_et_al_2014,"jiang_xy,_cao_lx,_zhang_rd_2014_changes_of_labile_and_recalcitrant_carbon_pools_under_nitrogen_addition_in_a_city_lawn_soil_journal_of_soils_and_sediments_14(3):_515-524",lanzhou_f,,
jiang_et_al_2014,"jiang_xy,_cao_lx,_zhang_rd_2014_changes_of_labile_and_recalcitrant_carbon_pools_under_nitrogen_addition_in_a_city_lawn_soil_journal_of_soils_and_sediments_14(3):_515-524",lanzhou_f2,,
jiang_et_al_2015,"jiang_et_al,_2015_climatic_patterns_modulate_ecosystem_and_soil_respiration
responses_to_fertilization_in_an_alpine_meadow
on_the_tibetan_plateau,_china_ecol_res_(2015)_30:_3–13",damxung_2015_f,,
jiang_et_al_2020,"jiang,_m,_medlyn,_b_e,_drake,_j_e,_duursma,_r_a,_anderson,_i_c,_barton,_c_v_m,_boer,_m_m,_carrillo,_y,_castañeda-gómez,_l,_collins,_l,_crous,_k_y,_de_kauwe,_m_g,_emmerson,_k_m,_facey,_s_l,_gherlenda,_a_n,_gimeno,_t_e,_hasegawa,_s,_johnson,_s_n,_macdonald,_c_a,_…_ellsworth,_d_s_(2020)_the_fate_of_carbon_in_a_mature_forest_under_carbon_dioxide_enrichment_nature,_580,_227-231",eucface_c,,
jing_et_al_2013,jing_et_al2013_no_temperature_acclimation_of_soil_extracellular_enzymes_to_experimental_warming_in_an_alpine_grassland_ecosystem_on_the_tibetan_plateau,deqing_b_w,,
jing_et_al_2013,jing_et_al2013_no_temperature_acclimation_of_soil_extracellular_enzymes_to_experimental_warming_in_an_alpine_grassland_ecosystem_on_the_tibetan_plateau,deqing_d,,
johnson_et_al_1994,"johnson_et_al,_1994_soil_pco(2),_soil_respiration,_and_root_activity_in_co2-fumigated_and_nitrogen-fertilized_ponderosa_pine_plant_and_soil_165,_129-138",dri_c,,
johnson_et_al_1994,"johnson_et_al,_1994_soil_pco(2),_soil_respiration,_and_root_activity_in_co2-fumigated_and_nitrogen-fertilized_ponderosa_pine_plant_and_soil_165,_129-138",dri_cf,,
johnson_et_al_1994,"johnson_et_al,_1994_soil_pco(2),_soil_respiration,_and_root_activity_in_co2-fumigated_and_nitrogen-fertilized_ponderosa_pine_plant_and_soil_165,_129-138",dri_cmf,,
johnson_et_al_2000,"johnson_dw,_cheng_w,_ball_jt_(2000)_effects_of_[co2]_and_nitrogen_fertilization_on_soils_planted_with_ponderosa_pine_plant_and_soil,_224,_99-113",dri_c,,
johnson_et_al_2000,"johnson_dw,_cheng_w,_ball_jt_(2000)_effects_of_[co2]_and_nitrogen_fertilization_on_soils_planted_with_ponderosa_pine_plant_and_soil,_224,_99-113",dri_cf,,
johnson_et_al_2000,"johnson_dw,_cheng_w,_ball_jt_(2000)_effects_of_[co2]_and_nitrogen_fertilization_on_soils_planted_with_ponderosa_pine_plant_and_soil,_224,_99-113",dri_cmf,,
johnson_et_al_2002,"johnson_d,_campbell_cd,_lee_ja,_callaghan_tv,_gwynn-jones_d_(2002)_arctic_microorganisms_respond_more_to_elevated_uv-b_radiation_than_co2_nature,_416,_82-83",abisko_subarctic_c,,
johnson_et_al_2003,"johnson_dw,_hungate_ba,_dijkstra_p,_hymus_g,_hinkle_cr,_stiling_p,_drake_bg_(2003)_the_effects_of_elevated_co2_on_nutrient_distribution_in_a_fire-adapted_scrub_oak_forest_ecological_applications,_13,_1388-1399",mi_c,,
johnson_et_al_2004,"johnson,_d_w,_cheng,_w,_joslin,_j_d,_norby,_r_j,_edwards,_n_t,_&_todd,_d_e_(2004)_effects_of_elevated_co_2_on_nutrient_cycling_in_a_sweetgum_plantation biogeochemistry, 69(3),_379-403",ornerp_liqui2_c,,
johnson_et_al_2005,"johnson_d,_leake_j,_read_d_2005_liming_and_nitrogen_fertilization_affects_phosphatase_activities,_microbial_biomass_and_mycorrhizal_colonisation_in_upland_grassland_plant_and_soil_271(1-2):_157-164",kelso_f,,
johnson_et_al_2006,"johnson_mg,_rygiewicz_pt,_tingey_dt,_phillips_dl_(2006)_elevated_co2_and_elevated_temperature_have_no_effect_on_douglas-fir_fine-root_dynamics_in_nitrogen-poor_soil_new_phytologist,_170,_345-356",usepa_pseudo_c,,
johnson_et_al_2006,"johnson_mg,_rygiewicz_pt,_tingey_dt,_phillips_dl_(2006)_elevated_co2_and_elevated_temperature_have_no_effect_on_douglas-fir_fine-root_dynamics_in_nitrogen-poor_soil_new_phytologist,_170,_345-356",usepa_pseudo_cw,,
johnson_et_al_2006,"johnson_mg,_rygiewicz_pt,_tingey_dt,_phillips_dl_(2006)_elevated_co2_and_elevated_temperature_have_no_effect_on_douglas-fir_fine-root_dynamics_in_nitrogen-poor_soil_new_phytologist,_170,_345-356",usepa_pseudo_w,,
johnson_et_al_2008,"johnson,_d_w,_todd,_d_e_jr,_hanson,_p_j_(2008)_effects_of_throughfall_manipulation_on_soil_nutrient_status:_results_of_12_years_of_sustained_wet_and_dry_treatments_global_change_biology_14,_1661-1675",walkerbranch_d,,
johnson_et_al_2008,"johnson,_d_w,_todd,_d_e_jr,_hanson,_p_j_(2008)_effects_of_throughfall_manipulation_on_soil_nutrient_status:_results_of_12_years_of_sustained_wet_and_dry_treatments_global_change_biology_14,_1661-1675",walkerbranch_i,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansasc_f,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansasc_f2,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansasc_f3,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansasf_fn,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansasf_fnp,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansasf_fp,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansask_fn,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansask_fnp,,
johnson_et_al_2015,"johnson,_n_c,_wilson,_g_w,_wilson,_j_a,_miller,_r_m,_&_bowker,_m_a_(2015)_mycorrhizal_phenotypes_and_the_law_of_the_minimum new_phytologist, 205(4),_1473-1484",kansask_fp,,
jonasson_et_al_1999,"jonasson_s,_michelsen_a,_schmidt_ik,_nielsen_ev_(1999)_responses_in_microbes_and_plants_to_changed_temperature,_nutrient,_and_light_regimes_in_the_arctic_ecology,_80,_1828-1843",abisko_fellfield_f,,
jonasson_et_al_1999,"jonasson_s,_michelsen_a,_schmidt_ik,_nielsen_ev_(1999)_responses_in_microbes_and_plants_to_changed_temperature,_nutrient,_and_light_regimes_in_the_arctic_ecology,_80,_1828-1843",abisko_fellfield_fw,,
jonasson_et_al_1999,"jonasson_s,_michelsen_a,_schmidt_ik,_nielsen_ev_(1999)_responses_in_microbes_and_plants_to_changed_temperature,_nutrient,_and_light_regimes_in_the_arctic_ecology,_80,_1828-1843",abisko_fellfield_fw2,,
jonasson_et_al_1999,"jonasson_s,_michelsen_a,_schmidt_ik,_nielsen_ev_(1999)_responses_in_microbes_and_plants_to_changed_temperature,_nutrient,_and_light_regimes_in_the_arctic_ecology,_80,_1828-1843",abisko_fellfield_w,,
