citation,exp,full_reference,
lin_et_al_2011,zhidoi_w2,lin_x_et_al_response_of_ecosystem_respiration_to_warming_and_grazing_during_the_growing_seasons_in_the_alpine_meadow_on_the_tibetan_plateau_agric_for_meteorol_151_792-802_2011,
lin_et_al_2011,zhidoi_w3,lin_x_et_al_response_of_ecosystem_respiration_to_warming_and_grazing_during_the_growing_seasons_in_the_alpine_meadow_on_the_tibetan_plateau_agric_for_meteorol_151_792-802_2011,
lin_et_al_2011,zhidoi_w4,lin_x_et_al_response_of_ecosystem_respiration_to_warming_and_grazing_during_the_growing_seasons_in_the_alpine_meadow_on_the_tibetan_plateau_agric_for_meteorol_151_792-802_2011,
lin_et_al_2011,zhidoi_w5,lin_x_et_al_response_of_ecosystem_respiration_to_warming_and_grazing_during_the_growing_seasons_in_the_alpine_meadow_on_the_tibetan_plateau_agric_for_meteorol_151_792-802_2011,
lin_et_al_2011,zhidoi_w,lin_x_et_al_response_of_ecosystem_respiration_to_warming_and_grazing_during_the_growing_seasons_in_the_alpine_meadow_on_the_tibetan_plateau_agric_for_meteorol_151_792-802_2011,
lin_et_al_2011,menyuan_b_w,lin_x_et_al_response_of_ecosystem_respiration_to_warming_and_grazing_during_the_growing_seasons_in_the_alpine_meadow_on_the_tibetan_plateau_agric_for_meteorol_151_792-802_2011,
lindroth_et_al_2001,aspenface_bp_c,lindroth_rl_kopper_bj_parsons_wfj_bockheim_jg_karnosky_df_hendrey_gr_pregitzer_ks_isebrands_jg_sober_j_2001_consequences_of_elevated_carbon_dioxide_and_ozone_for_foliar_chemical_composition_and_dynamics_in_trembling_aspen_populus_tremuloides_and_paper_birch_betula_papyrifera_environmental_pollution_115:395–404,
lindroth_et_al_2001,aspenface_pt_c,lindroth_rl_kopper_bj_parsons_wfj_bockheim_jg_karnosky_df_hendrey_gr_pregitzer_ks_isebrands_jg_sober_j_2001_consequences_of_elevated_carbon_dioxide_and_ozone_for_foliar_chemical_composition_and_dynamics_in_trembling_aspen_populus_tremuloides_and_paper_birch_betula_papyrifera_environmental_pollution_115:395–404,
lindroth_et_al_2002,aspenface_pt_c,lindroth_rl_wood_sa_kopper_bj_2002_response_of_quaking_aspen_genotypes_to_enriched_co2:_foliar_chemistry_and_insect_performance_agricultural_and_forest_entomology_4:315–323,
liozon_1998,orsay_c,liozon_r_1998_effets_d'un_enrichissement_en_co2_sur_la_photosynthèse_et_la_croissance_de_petits_couverts_de_hêtres_fagus_sylvatica_l_phd_thesis_universite_paris-sud_176_pp,
lipson_et_al_2005,33.38_-116.62_c,lipson_d_a_wilson_r_f_and_oechel_w_c_effects_of_elevated_atmospheric_co2_on_soil_microbial_biomass_activity_and_diversity_in_a_chaparral_ecosystem_appl_environ_microbiol_71_8573-8580_2005,
lisa_et_al_2007,44.13_10.58_f,lisa_b_matteo_g_marcello_t_and_renato_g_responses_of_subalpine_dwarf-shrub_heath_to_irrigation_and_fertilization_j_veg_sci_18_337-344_2007,
lisa_et_al_2007,44.13_10.58_if,lisa_b_matteo_g_marcello_t_and_renato_g_responses_of_subalpine_dwarf-shrub_heath_to_irrigation_and_fertilization_j_veg_sci_18_337-344_2007,
lisa_et_al_2007,44.13_10.58_i,lisa_b_matteo_g_marcello_t_and_renato_g_responses_of_subalpine_dwarf-shrub_heath_to_irrigation_and_fertilization_j_veg_sci_18_337-344_2007,
liu_et_al_2002,56.5_-4_cf,liu_s_r_durrant_d_lee_h_and_jarvis_p_g_2002_long-term_response_of_sitka_spruce_picea_sitchensis_bong_carr_to_co2enrichment_and_nitrogen_supply_igrowth_biomass_allocation_and_physiology_plant_biosystems_1362_189–198_https://doiorg/101080/11263500212331351089,
liu_et_al_2002,56.5_-4_c,liu_s_r_durrant_d_lee_h_and_jarvis_p_g_2002_long-term_response_of_sitka_spruce_picea_sitchensis_bong_carr_to_co2enrichment_and_nitrogen_supply_igrowth_biomass_allocation_and_physiology_plant_biosystems_1362_189–198_https://doiorg/101080/11263500212331351089,
liu_et_al_2002,56.5_-4_f,liu_s_r_durrant_d_lee_h_and_jarvis_p_g_2002_long-term_response_of_sitka_spruce_picea_sitchensis_bong_carr_to_co2enrichment_and_nitrogen_supply_igrowth_biomass_allocation_and_physiology_plant_biosystems_1362_189–198_https://doiorg/101080/11263500212331351089,
liu_et_al_2005,aspenface_pt_c,liu_l_king_js_giardina_cp_2005_effects_of_elevated_concentrations_of_atmospheric_co2_and_tropospheric_o3_on_leaf_litter_production_and_chemistry_in_trembling_aspen_and_paper_birch_communities_tree_physiol_25:1511–1522,
liu_et_al_2005,aspenface_ptbp_c,liu_l_king_js_giardina_cp_2005_effects_of_elevated_concentrations_of_atmospheric_co2_and_tropospheric_o3_on_leaf_litter_production_and_chemistry_in_trembling_aspen_and_paper_birch_communities_tree_physiol_25:1511–1522,
liu_et_al_2007,42.27_11.64_f,liu_w_xu_w_han_y_wang_c_and_wan_s_2007_responses_of_microbial_biomass_and_respiration_of_soil_to_topography_burning_and_nitrogen_fertilization_in_a_temperate_steppe_biology_and_fertility_of_soils_442_259–268_https://doiorg/101007/s00374-007-0198-6,
liu_et_al_2007,aspenface_pt_c,liu_l_king_js_giardina_cp_2007_effects_of_elevated_atmospheric_co2_and_tropospheric_o3_on_nutrient_dynamics:_decomposition_of_leaf_litter_in_trembling_aspen_and_paper_birch_communities_plant_and_soil_299:65–82,
liu_et_al_2007,aspenface_ptbp_c,liu_l_king_js_giardina_cp_2007_effects_of_elevated_atmospheric_co2_and_tropospheric_o3_on_nutrient_dynamics:_decomposition_of_leaf_litter_in_trembling_aspen_and_paper_birch_communities_plant_and_soil_299:65–82,
liu_et_al_2008,duolun8_i,liu_a_hamel_c_spedding_t_zhang_t_q_mongeau_r_lamarre_g_r_and_tremblay_g_2008_soil_microbial_carbon_and_phosphorus_as_influenced_by_phosphorus_fertilization_and_tillage_in_a_maize-soybean_rotation_in_south-western_quebec_canadian_journal_of_soil_science_881_21–30_https://doiorg/104141/cjss07016,
liu_et_al_2008,duolun8_iw,liu_a_hamel_c_spedding_t_zhang_t_q_mongeau_r_lamarre_g_r_and_tremblay_g_2008_soil_microbial_carbon_and_phosphorus_as_influenced_by_phosphorus_fertilization_and_tillage_in_a_maize-soybean_rotation_in_south-western_quebec_canadian_journal_of_soil_science_881_21–30_https://doiorg/104141/cjss07016,
liu_et_al_2008,duolun8_w,liu_a_hamel_c_spedding_t_zhang_t_q_mongeau_r_lamarre_g_r_and_tremblay_g_2008_soil_microbial_carbon_and_phosphorus_as_influenced_by_phosphorus_fertilization_and_tillage_in_a_maize-soybean_rotation_in_south-western_quebec_canadian_journal_of_soil_science_881_21–30_https://doiorg/104141/cjss07016,
liu_et_al_2008,45.19_-73.21_f2,liu_a_hamel_c_spedding_t_zhang_t_q_mongeau_r_lamarre_g_r_and_tremblay_g_2008_soil_microbial_carbon_and_phosphorus_as_influenced_by_phosphorus_fertilization_and_tillage_in_a_maize-soybean_rotation_in_south-western_quebec_canadian_journal_of_soil_science_881_21–30_https://doiorg/104141/cjss07016,
liu_et_al_2008,45.19_-73.21_f,liu_a_hamel_c_spedding_t_zhang_t_q_mongeau_r_lamarre_g_r_and_tremblay_g_2008_soil_microbial_carbon_and_phosphorus_as_influenced_by_phosphorus_fertilization_and_tillage_in_a_maize-soybean_rotation_in_south-western_quebec_canadian_journal_of_soil_science_881_21–30_https://doiorg/104141/cjss07016,
liu_et_al_2008,riceface_zhongcun_2004_cf,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2004_c,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2004_f,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2005_cf,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2005_c,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2005_f,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2006_cf,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2006_c,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2008,riceface_zhongcun_2006_f,liu_w_zhang_z_wan_s_2008_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biology_14_,
liu_et_al_2009,aspenface_pooled_c,liu_w_zhang_z_and_wan_s_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biol_15_184-195_2009,
liu_et_al_2009,aspenface_pt_c,liu_w_zhang_z_and_wan_s_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biol_15_184-195_2009,
liu_et_al_2009,duolun8_d,liu_w_zhang_z_and_wan_s_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biol_15_184-195_2009,
liu_et_al_2009,duolun8_i,liu_w_zhang_z_and_wan_s_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biol_15_184-195_2009,
liu_et_al_2009,duolun8_iw,liu_w_zhang_z_and_wan_s_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biol_15_184-195_2009,
liu_et_al_2009,duolun8_w,liu_w_zhang_z_and_wan_s_predominant_role_of_water_in_regulating_soil_and_microbial_respiration_and_their_responses_to_climate_change_in_a_semiarid_grassland_global_change_biol_15_184-195_2009,
liu_et_al_2009a,aspenface_ptbp_c,liu_l_king_js_giardina_cp_booker_fl_2009_the_influence_of_chemistry_production_and_community_composition_on_leaf_litter_decomposition_under_elevated_atmospheric_co2_and_tropospheric_o3_in_a_northern_hardwood_ecosystem_ecosystems_12:401–416,
liu_et_al_2010,baiwanxiang_w,liu_j_et_al_carbon_dynamics_in_subtropical_forest_soil:_effects_of_atmospheric_carbon_dioxide_enrichment_and_nitrogen_addition_j_soils_sediments_10_730-738_2010,
liu_et_al_2010,gade_w,liu_j_et_al_carbon_dynamics_in_subtropical_forest_soil:_effects_of_atmospheric_carbon_dioxide_enrichment_and_nitrogen_addition_j_soils_sediments_10_730-738_2010,
liu_et_al_2010,scbg_cf,liu_j_x_zhou_g_y_zhang_d_q_xu_z_h_duan_h_l_deng_q_and_zhao_l_2010_carbon_dynamics_in_subtropical_forest_soil:_effects_of_atmospheric_carbon_dioxide_enrichment_and_nitrogen_addition journal_of_soils_and_sediments 104_730-738,
liu_et_al_2010,scbg_c,liu_j_x_zhou_g_y_zhang_d_q_xu_z_h_duan_h_l_deng_q_and_zhao_l_2010_carbon_dynamics_in_subtropical_forest_soil:_effects_of_atmospheric_carbon_dioxide_enrichment_and_nitrogen_addition journal_of_soils_and_sediments 104_730-738,
liu_et_al_2010,scbg_f,liu_j_x_zhou_g_y_zhang_d_q_xu_z_h_duan_h_l_deng_q_and_zhao_l_2010_carbon_dynamics_in_subtropical_forest_soil:_effects_of_atmospheric_carbon_dioxide_enrichment_and_nitrogen_addition journal_of_soils_and_sediments 104_730-738,
liu_et_al_2010a,35.2_107.45_f,liu_e_yan_c_mei_x_he_w_bing_s_h_ding_l_…_fan_t_2010_long-term_effect_of_chemical_fertilizer_straw_and_manure_on_soil_chemical_and_biological_properties_in_northwest_china_geoderma_1583–4_173–180_https://doiorg/101016/jgeoderma201004029,
liu_et_al_2010b,scbg_cf,chen_x_liu_j_deng_q_yan_j_and_zhang_d_2012_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil 3571-2_25-34,
liu_et_al_2010b,scbg_c,chen_x_liu_j_deng_q_yan_j_and_zhang_d_2012_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil 3571-2_25-34,
liu_et_al_2010b,scbg_f,chen_x_liu_j_deng_q_yan_j_and_zhang_d_2012_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil 3571-2_25-34,
liu_et_al_2011,maoxian_w,liu_j_xu_z_zhang_d_zhou_g_deng_q_duan_h_…_wang_c_2011_effects_of_carbon_dioxide_enrichment_and_nitrogen_addition_on_inorganic_carbon_leaching_in_subtropical_model_forest_ecosystems_ecosystems_145_683–697_https://doiorg/101007/s10021-011-9438-6,
liu_et_al_2011,maoxian_f,liu_q_yin_h_chen_j_zhao_c_cheng_x_wei_y_lin_b_2011_belowground_responses_of_picea_asperata_seedlings_to_warming_and_nitrogen_fertilization_in_the_eastern_tibetan_plateau_ecological_research_263:_637-648,
liu_et_al_2011,guangzhou_cf,liu_j_et_al_photosynthesis_acclimation_leaf_nitrogen_concentration_and_growth_of_four_tree_species_over_3_years_in_response_to_elevated_carbon_dioxide_and_nitrogen_treatment_in_subtropical_china_j_soils_sediments_2011_11:1155–1164,
liu_et_al_2011,guangzhou_c,liu_j_et_al_photosynthesis_acclimation_leaf_nitrogen_concentration_and_growth_of_four_tree_species_over_3_years_in_response_to_elevated_carbon_dioxide_and_nitrogen_treatment_in_subtropical_china_j_soils_sediments_2011_11:1155–1164,
liu_et_al_2011,guangzhou_f,liu_j_et_al_photosynthesis_acclimation_leaf_nitrogen_concentration_and_growth_of_four_tree_species_over_3_years_in_response_to_elevated_carbon_dioxide_and_nitrogen_treatment_in_subtropical_china_j_soils_sediments_2011_11:1155–1164,
liu_et_al_2011a,scbg_cf,chen_x_liu_j_deng_q_yan_j_and_zhang_d_2012_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil 3571-2_25-34,
liu_et_al_2011a,scbg_c,chen_x_liu_j_deng_q_yan_j_and_zhang_d_2012_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil 3571-2_25-34,
liu_et_al_2011a,scbg_f,chen_x_liu_j_deng_q_yan_j_and_zhang_d_2012_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil 3571-2_25-34,
liu_et_al_2011b,maoxian_fw,liu_q_yin_h_chen_j_zhao_c_cheng_x_wei_y_and_lin_b_2011_belowground_responses_of_picea_asperata_seedlings_to_warming_and_nitrogen_fertilization_in_the_eastern_tibetan_plateau_ecological_research_263_637–648_https://doiorg/101007/s11284-011-0824-5,
liu_et_al_2011b,maoxian_f,liu_q_yin_h_chen_j_zhao_c_cheng_x_wei_y_lin_b_2011_belowground_responses_of_picea_asperata_seedlings_to_warming_and_nitrogen_fertilization_in_the_eastern_tibetan_plateau_ecological_research_263:_637-648,
liu_et_al_2011b,maoxian_w,xiong_et_al_2010_short-term_response_of_winter_soil_respiration_to_simulated_warming_in_a_pinus_armandii_plantation_in_the_upper_reaches_of_the_minjiang_river_china_,
liu_et_al_2012,imgers_pot_d15_i,liu_y_pan_q_zheng_s_bai_y_and_han_x_2012_intra-seasonal_precipitation_amount_and_pattern_differentially_affect_primary_production_of_two_dominant_species_of_inner_mongolia_grassland acta_oecologica 44_2-10,
liu_et_al_2012,imgers_pot_d3_i,liu_y_pan_q_zheng_s_bai_y_and_han_x_2012_intra-seasonal_precipitation_amount_and_pattern_differentially_affect_primary_production_of_two_dominant_species_of_inner_mongolia_grassland acta_oecologica 44_2-10,
liu_et_al_2012,35.97_101.88_f,liu_y_et_al_direct_and_indirect_influences_of_8_yr_of_nitrogen_and_phosphorus_fertilization_on_glomeromycota_in_an_alpine_meadow_ecosystem_new_phytol_194_523-535_2012,
liu_et_al_2012,shangganling_f2,liu_et_al_2012_efects_of_simulated_nitrogen_deposition_on_soil_respiration_in_spruce-fir-korean_pine_forest_of_xiaoxing'anling_mountains_china,
liu_et_al_2012,shangganling_f3,liu_et_al_2012_efects_of_simulated_nitrogen_deposition_on_soil_respiration_in_spruce-fir-korean_pine_forest_of_xiaoxing'anling_mountains_china,
liu_et_al_2012,shangganling_f,liu_et_al_2012_efects_of_simulated_nitrogen_deposition_on_soil_respiration_in_spruce-fir-korean_pine_forest_of_xiaoxing'anling_mountains_china,
liu_et_al_2012a,23.17_112.17_fp,liu_l_gundersen_p_zhang_t_and_mo_j_2012_effects_of_phosphorus_addition_on_soil_microbial_biomass_and_community_composition_in_three_forest_types_in_tropical_china_soil_biology_and_biochemistry_441_31–38_https://doiorg/101016/jsoilbio201108017,
liu_et_al_2012b,41.63_110.32_i,liu_t_zhang_y-x_xu_z-z_zhou_g-s_hou_y-h_and_lin_l_2013_effects_of_short-term_warming_and_increasing_precipitation_on_soil_respiration_of_desert_steppe_of_inner_mongolia_chinese_journal_of_plant_ecology_3610_1043–1053_https://doiorg/103724/spj1258201201043,
liu_et_al_2013,duolun2_f2,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,duolun2_f3,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,duolun2_f4,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,duolun2_f5,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,duolun2_f6,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,duolun2_w,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,23.17_112.17_fn,liu_l_et_al_interactive_effects_of_nitrogen_and_phosphorus_on_soil_microbial_communities_in_a_tropical_forest_plos_one_8_e61188_doi:101371/journalpone0061188_2013,
liu_et_al_2013,luangcheng_f,liu_et_al_2013_warming_and_nitrogen_fertilization_effects_on_winter_wheat_yields_in_northern_china_varied_between_four_years_field_crops_research_151_2013_56–64,
liu_et_al_2013,luangcheng_w,liu_et_al_2013_warming_and_nitrogen_fertilization_effects_on_winter_wheat_yields_in_northern_china_varied_between_four_years_field_crops_research_151_2013_56–65,
liu_et_al_2013,luangcheng_fw,liu_et_al_2013_warming_and_nitrogen_fertilization_effects_on_winter_wheat_yields_in_northern_china_varied_between_four_years_field_crops_research_151_2013_56–66,
liu_et_al_2013,maoxian_b_w,liu_et_al_2013_effects_of_elevated_temperature_and_doubled_co2_concentration_on_soil_dissolved_organic_carbon_and_nitrogen_in_a_subalpine_coniferous_forest_of_western_sichuansouthwest_china,
liu_et_al_2014,duolun2_f2,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,duolun2_f3,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,duolun2_f4,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,duolun2_f5,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,duolun2_f6,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,duolun2_f7,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,duolun2_f,liu_w_et_al_decoupling_of_soil_microbes_and_plants_with_increasing_anthropogenic_nitrogen_inputs_in_a_temperate_steppe_soil_biol_biochem_72_116-122_2014,
liu_et_al_2014,riceface_nianyufarm_2010_c,liu_y_et_al_short-term_responses_of_microbial_community_and_functioning_to_experimental_co2_enrichment_and_warming_in_a_chinese_paddy_field_soil_biology_and_biochemistry_77_2014_58-68,
liu_et_al_2014,riceface_nianyufarm_2010_cw,liu_y_et_al_short-term_responses_of_microbial_community_and_functioning_to_experimental_co2_enrichment_and_warming_in_a_chinese_paddy_field_soil_biology_and_biochemistry_77_2014_58-68,
liu_et_al_2014,riceface_nianyufarm_2010_w,liu_y_et_al_short-term_responses_of_microbial_community_and_functioning_to_experimental_co2_enrichment_and_warming_in_a_chinese_paddy_field_soil_biology_and_biochemistry_77_2014_58-68,
liu_et_al_2015,prades_d,liu_et_al_2015_contrasting_impacts_of_continuous_moderate_drought_and_episodic_severe_droughts_on_the_aboveground-biomass_increment_and_litterfall_of_three_coexisting_mediterranean_woody_species,
liu_et_al_2015a,23.17_113.35_cf,liu_j_fang_x_deng_q_han_t_huang_w_and_li_y_2015_co2_enrichment_and_n_addition_increase_nutrient_loss_from_decomposing_leaf_litter_in_subtropical_model_forest_ecosystems_scientific_reports_5_1–9_https://doiorg/101038/srep07952,
liu_et_al_2015a,23.17_113.35_c,liu_j_fang_x_deng_q_han_t_huang_w_and_li_y_2015_co2_enrichment_and_n_addition_increase_nutrient_loss_from_decomposing_leaf_litter_in_subtropical_model_forest_ecosystems_scientific_reports_5_1–9_https://doiorg/101038/srep07952,
liu_et_al_2015a,23.17_113.35_f,liu_j_fang_x_deng_q_han_t_huang_w_and_li_y_2015_co2_enrichment_and_n_addition_increase_nutrient_loss_from_decomposing_leaf_litter_in_subtropical_model_forest_ecosystems_scientific_reports_5_1–9_https://doiorg/101038/srep07952,
liu_et_al_2015b,37.88_114.68_f,liu_l_hu_c_yang_p_ju_z_olesen_j_e_and_tang_j_2015_effects_of_experimental_warming_and_nitrogen_addition_on_soil_respiration_and_ch4_fluxes_from_crop_rotations_of_winter_wheat-soybean/fallow_agricultural_and_forest_meteorology_207_38–47_https://doiorg/101016/jagrformet201503013,
liu_et_al_2015b,37.88_114.68_fw,liu_l_hu_c_yang_p_ju_z_olesen_j_e_and_tang_j_2015_effects_of_experimental_warming_and_nitrogen_addition_on_soil_respiration_and_ch4_fluxes_from_crop_rotations_of_winter_wheat-soybean/fallow_agricultural_and_forest_meteorology_207_38–47_https://doiorg/101016/jagrformet201503013,
liu_et_al_2015b,37.88_114.68_w,liu_l_hu_c_yang_p_ju_z_olesen_j_e_and_tang_j_2015_effects_of_experimental_warming_and_nitrogen_addition_on_soil_respiration_and_ch4_fluxes_from_crop_rotations_of_winter_wheat-soybean/fallow_agricultural_and_forest_meteorology_207_38–47_https://doiorg/101016/jagrformet201503013,
liu_et_al_2016,shangganling_f2,liu_b_et_al_annual_soil_co?_efflux_in_a_cold_temperate_forest_in_northeastern_china:_effects_of_winter_snowpack_and_artificial_nitrogen_deposition_sci_rep_6_18957_doi:101038/srep18957_2016,
liu_et_al_2016,shangganling_f3,liu_b_et_al_annual_soil_co?_efflux_in_a_cold_temperate_forest_in_northeastern_china:_effects_of_winter_snowpack_and_artificial_nitrogen_deposition_sci_rep_6_18957_doi:101038/srep18957_2016,
liu_et_al_2016,shangganling_f,liu_b_et_al_annual_soil_co?_efflux_in_a_cold_temperate_forest_in_northeastern_china:_effects_of_winter_snowpack_and_artificial_nitrogen_deposition_sci_rep_6_18957_doi:101038/srep18957_2016,
liu_et_al_2016,37.88_114.68_f,liu_b_et_al_annual_soil_co?_efflux_in_a_cold_temperate_forest_in_northeastern_china:_effects_of_winter_snowpack_and_artificial_nitrogen_deposition_sci_rep_6_18957_doi:101038/srep18957_2016,
liu_et_al_2016,37.88_114.68_fw,liu_b_et_al_annual_soil_co?_efflux_in_a_cold_temperate_forest_in_northeastern_china:_effects_of_winter_snowpack_and_artificial_nitrogen_deposition_sci_rep_6_18957_doi:101038/srep18957_2016,
liu_et_al_2016,37.88_114.68_w,liu_b_et_al_annual_soil_co?_efflux_in_a_cold_temperate_forest_in_northeastern_china:_effects_of_winter_snowpack_and_artificial_nitrogen_deposition_sci_rep_6_18957_doi:101038/srep18957_2016,
liu_et_al_2016,garraf_d,liu_et_al_2016_physiological_adjustments_of_a_mediterranean_shrub_to_long-term_experimental_warming_and_drought_treatments,
liu_et_al_2016,garraf_w,liu_et_al_2016_physiological_adjustments_of_a_mediterranean_shrub_to_long-term_experimental_warming_and_drought_treatments,
llorens_et_al_2003,garraf_d,llorens_et_al_2003_ecophysiological_responses_of_two_mediterranean_shrubs_erica_multiflora_and_globularia_alypum_to_experimentally_drier_and_warmer_conditions,
llorens_et_al_2004,garraf_w,liu_et_al_2016_physiological_adjustments_of_a_mediterranean_shrub_to_long-term_experimental_warming_and_drought_treatments,
logan_et_al_2009,dukeface_c,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,
longepierre_et_al_2016,jema_d,longepierre_d_mouillot_f_ouelhazi_b_ourcival_j_m_rocheteau_a_degueldre_d_and_rejeb_m_n_2014_true_water_constraint_under_a_rainfall_interception_experiment_in_a_mediterranean_shrubland_northern_tunisia:_confronting_discrete_measurements_with_a_plant–soil_water_budget_model plant_ecology 2157_779-794,
loveland_and_ungar_1983,40.95_-81.78_f2,loveland_d_g_and_ungar_i_a_1983_the_effect_of_nitrogen_fertilization_on_the_production_of_halophytes_in_an_inland_salt_marsh_american_midland_naturalist_1092_346–354_https://doiorg/102307/2425415,
loveland_and_ungar_1983,40.95_-81.78_f,loveland_d_g_and_ungar_i_a_1983_the_effect_of_nitrogen_fertilization_on_the_production_of_halophytes_in_an_inland_salt_marsh_american_midland_naturalist_1092_346–354_https://doiorg/102307/2425415,
lovelock_et_al_1998,8.99_-79.55_c,lovelock_c_e_winter_k_mersits_r_and_popp_m_responses_of_communities_of_tropical_tree_species_to_elevated_co2_in_a_forest_clearing_oecologia_116_207-218_1998,
